season,name,retailer,category,shade,price,salePrice,url,confidence,img,dateAdded
deepAutumn,Love & Roses Burgundy Red Scallop Boat Neck 3/4 Sleeve Jersey Top,next,top,burgundy,142 RON,,https://www.next.ro/en/style/su788699/g98979,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G98979s.jpg,2025-01-08
brightWinter,Lipsy White Crochet Trim Detail Vest,next,top,purewhite,186 RON,,https://www.next.ro/en/style/sv201406/393069,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/393069s.jpg,2025-01-08
lightSpring,Love & Roses Mint Green Floral Print Lace Trim Top,next,top,mint,238 RON,,https://www.next.ro/en/style/su998882/g82806,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G82806s.jpg,2025-01-08
lightSummer,Lipsy Blue 3D Textured Sleeveless Shirt,next,top,powderblue,298 RON,,https://www.next.ro/en/style/su955344/y88129,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y88129s.jpg,2025-01-09
lightSummer,Friends Like These Pink Draped Off The Shoulder Top,next,top,balletpink,238 RON,,https://www.next.ro/en/style/su721640/y77458,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y77458s.jpg,2025-01-09
coolSummer,Love & Roses Teal Blue Balloon Sleeve V-Neck Brazilia Print Midi Dress,next,dress,softteal,492 RON,,https://www.next.ro/en/style/sv116321/y70541,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y70541s.jpg,2025-01-09
brightWinter,Friends Like These Blue V-Neck Plunge Sleeveless Maxi Dress,next,dress,cobaltblue,313 RON,,https://www.next.ro/en/style/sv122828/y72283,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y72283s.jpg,2025-01-10
brightSpring,Love & Roses Butter Yellow V-Neck Satin Front Jersey T-Shirt,next,top,clearyellow,179 RON,,https://www.next.ro/en/style/su929300/h06142,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H06142s.jpg,2025-01-10
lightSpring,Mohito Strappy Midi Dress,mohito,dress,coral,259 RON,199 RON,https://www.mohito.com/ro/ro/rochie-midi-cu-bretele-434jo-32x,high,https://static.mohito.com/media/catalog/product/4/3/434JO-32X-002-1-1222869.jpg,2025-01-10
lightSpring,Mohito Ribbed Top,mohito,top,butter,59 RON,45 RON,https://www.mohito.com/ro/ro/top-reiat-651he-10x,high,https://static.mohito.com/media/catalog/product/6/5/651HE-10X-002-1-1031990_13.jpg,2025-01-10
lightSpring,H&M Flared-Skirt Crêpe Dress,hm,dress,blush,137 RON,,https://www2.hm.com/ro_ro/productpage.1324556001.html,high,https://image.hm.com/assets/hm/cd/96/cd96f1cf2333135c4d4b987198e5b61b5053a4cf.jpg,2025-01-11
lightSpring,H&M Frill-Trimmed Halterneck Top,hm,top,coral,114 RON,,https://www2.hm.com/ro_ro/productpage.1346795001.html,high,https://image.hm.com/assets/hm/99/c5/99c504f23d4049dc803f13ef74d3da62905cde5b.jpg,2025-01-11
lightSpring,Mohito Strappy Top,mohito,top,ivory,69 RON,,https://www.mohito.com/ro/ro/top-cu-bretele-2-130is-01x,high,https://static.mohito.com/media/catalog/product/1/3/130IS-01X-003-2-1207919.jpg,2025-01-11
